시티투어코스명,시티투어코스정보,제공기관명,embedding,combined
야경코스,여수엑스포역→국가산단→돌산공원→돌산갓김치거리→이순신광장→오동도야간분수→여수엑스포역,전라남도 여수시,"[0.36245131, 0.048369184, 0.09563643, 0.6434605, 0.5361817, 0.030303845, 0.08512641, -0.33637834, 0.03741457, -0.2660494, -0.59351426, -0.28344262, 0.22288543, -0.29882902, -0.05098403, 0.2717894, 0.36194074, -0.013416033, 0.5420398, -0.15147568, -0.28368697, 0.2856022, -0.04320638, -0.3203274, -0.024383547, 0.13642794, -0.18797559, 0.13246857, 0.22244135, 0.096079394, -0.16744594, -0.035271335, -0.0114349285, 0.053996574, -0.49902415, 0.30963817, -0.40394723, -0.510806, 0.18999371, 0.036003783, -0.7554065, -0.16514029, 0.073210746, -0.38055187, -0.15149029, -0.20945841, -0.17262936, -0.16633129, -0.37459332, -0.20888394, -0.15583138, -0.52920145, -0.12766764, 0.10556951, -0.3700995, 0.18228291, 0.10108661, -0.25066444, -0.5029715, 0.23211601, -0.19370848, 0.47696084, 0.20225087, -0.62987435, -0.46989876, 0.014500395, -0.6669554, 0.22596735, -0.1944736, -0.91854286, 0.48268035, 0.19907759, 0.45005187, 0.052367244, 0.07649544, -0.18840413, -0.17661184, -0.3147018, 0.28027648, 1.1656914, -0.64933854, -0.6157429, 0.5208833, 0.5055977, -0.78486145, -0.036552154, -0.991226, -0.19626911, 0.114108846, -0.5562683, 0.5949794, -0.02542865, -1.4308776, -0.38762084, 0.11495073, 0.20368958, 0.34384498, 0.10046229, 0.29172817, 0.9419836, 0.8416449, 0.053247046, -0.37234738, 0.7156275, 0.5803474, 0.32869342, -0.02199234, 0.09959603, 0.5367306, -0.57811594, 0.37642795, 0.034297775, -0.5190565, 0.3652622, 0.15569943, -0.31696433, 0.19876727, 0.674253, 0.30714583, 0.045897584, -0.48906913, 0.18893844, -0.0950832, -0.37773106, -0.0043825423, -0.5087517, -0.013791096, 0.17843075, -0.0027740821, -0.8209337, 0.24066801, 0.07977146, -0.47488958, -0.28035045, 0.5108999, 0.30381307, 0.40989143, -0.28152966, -0.12772614, -0.12014533, -0.6258351, 0.7866995, -0.38547793, 0.31690902, -0.4682304, 0.26877955, 0.0680514, -0.7205912, -0.110146075, -0.5022022, -0.014641388, 0.030847661, -0.7983947, 0.338429, -0.43121827, 0.21148556, 0.028782256, 0.16653658, -0.13077515, -0.2353166, -0.15970522, 0.43180886, -0.36349183, 0.050456658, 0.029117845, 0.5449022, 0.32950583, 0.5546986, 0.29134473, 0.37466553, 0.35003114, -0.20719095, -0.70179945, -0.050552912, 0.10731649, -0.10581699, -0.032968078, -0.77856123, -0.27237853, 0.39968, 0.09427931, 0.560134, 0.05577661, 0.33120418, -0.6161133, 0.8792044, 0.5559609, 1.1181898, -0.42088607, -0.09894961, 0.2581271, 0.8159471, -0.22685452, 0.057795394, 0.051135, 0.48810726, -0.071763374, 0.48724517, 0.4805622, 0.27363056, -0.0024095625, 0.075090855, -0.10099134, 0.2801685, 0.5533763, -0.21699734, 0.12115619, 0.5058001, -0.11070555, -0.42927507, -0.61013204, 0.12674142, 0.92152846, -0.19502264, 0.22031322, 0.22995004, 0.2835196, 0.0439856, -0.2884517, -0.11919621, -0.26188928, -0.43558788, 0.46893302, -0.4747118, 0.11824001, -0.037851382, 0.26469898, 0.3123555, 0.2572318, -0.7360056, 0.43031, -0.42500684, -0.25552475, -0.18333304, 1.0363643, -0.3034955, -0.018889379, 0.5514129, 0.06668481, 0.3056891, 0.032427937, -0.13607101, -0.027035354, 0.15174176, -0.09899009, -0.060178414, 0.41778797, 0.5866132, -0.19102867, -0.015515392, -0.15482557, -0.44793242, 0.26237768, -0.4507768, -0.095935784, 0.07862577, 0.1024956, 0.21560657, -0.16514006, 0.6190328, 0.055999156, -0.47039494, -0.7016621, -0.15212575, -0.39276862, -0.12715064, 0.65165824, -0.29922265, 0.569262, -0.119187854, -0.089432605, -0.11941027, 0.53752434, 0.120035514, -0.54326546, 0.07396007, -0.038043, -0.28744382, -0.09934351, -0.32240224, 0.38244075, -0.22277194, -0.5798723, -0.57381654, 0.0491394, -0.61291033, -0.5690919, 0.011640553, -0.7683926, -0.80337304, 0.5228061, -0.48013398, -0.15845257, -0.52832675, 0.86112136, -0.29593942, 0.28025967, 0.43329063, -0.10305262, -0.16536312, 0.26481187, -0.097350605, 0.2626063, -0.011358324, 0.05803556, 0.06489999, -0.14697707, -0.5601268, 0.10549628, -0.24180411, -0.71493775, 1.0473443, -0.26125336, 0.286911, -0.010502753, -1.1252565, -0.6109043, -0.43577096, 0.026707817, -0.05682177, -0.29109114, 0.11296524, 0.16949259, 0.3587056, 0.1526598, 0.21785748, -0.38699517, -0.17642905, 0.05460848, 0.33418673, -0.7584463, -0.19728751, 0.6638458, -0.21534532, -0.15636377, -0.837907, -0.3276517, 0.4427703, -0.46644276, -0.22575615, 0.2949849, -0.53534085, -0.1546399, -0.05267092, 0.5909566, 0.34215057, 0.060295194, -0.6260077, -0.40415356, -0.113281354, 0.6522743, -0.9622247, -0.38081008, 0.13990393, 0.06642116, 0.18376005, 0.84857714, 0.14714232, -0.5448889, 0.12697268, 0.33579245, -0.32937157, -0.9691192, 0.43601763, -0.15244898, -0.14165369, 0.026130874, 0.27823254, -0.12749234, 0.4877968, -0.13097015, -0.15908499, 0.0369506, -0.8191459, -0.14662988, -0.10840064, 0.6505372, 0.07008753, 0.21203904, -0.11912808, -0.4239837, 0.059049174, 0.4081106, -0.8205555, 0.22608411, 0.08026652, -0.52786523, 0.11175025, 0.31542808, -0.035406724, -0.54930735, -0.34360325, -0.299796, -0.16929501, 0.36213782, 0.7272338, 0.14522643, 0.15537983, -0.44508418, 0.25053906, 0.20465656, -0.25606447, 0.38583142, -1.1798614, 0.07955465, 0.9724609, -0.7079287, 0.15125607, -0.20723845, 0.37122098, -0.0064293076, -0.39469907, 0.19000526, 0.24196512, 0.08901846, -0.6855099, -0.29369503, 0.44529164, 0.4814746, 0.03050939, 0.16065241, -0.07778555, -0.051424813, -0.3720439, -0.037428, 0.48285043, 0.18899523, -0.44632512, 0.29327503, -0.19923498, 0.3856599, -0.26535258, 0.000903334, 0.5095405, 0.18221046, 0.076036185, -0.13125713, 0.035417285, -0.119971424, -0.04926491, -0.6216206, -0.07570082, 0.50238645, 0.16145714, -0.017594565, 0.0948908, -0.08036889, 0.6173542, -0.12018739, -0.93752486, -0.58179635, -0.13993393, 0.034099907, -0.050708007, -0.123431236, 0.41257447, 0.5544961, 0.033790603, -0.31744495, -0.6138062, -0.4504307, -0.35483524, -0.6885607, 0.5862402, 0.58729553, 0.36639825, -0.28355297, 0.03944592, 0.48844463, 0.30910993, 0.12357505, -0.41318408, 0.050646294, 0.070737645, 0.31752098, -0.104776695, -0.28771743, -0.35759586, -0.48568055, -0.5254692, -0.09161107, -0.51640606, -0.29917917, 0.20794213, -1.2344618, -0.54660547, 0.18787774, -0.022501495, 0.1831482, -0.21464673, 0.02021097, 0.42353016, 0.857933, -0.018820737, 0.35069805, 0.12443338, 0.20243591, -0.05853231, 0.17580196, -0.63700736, -0.15830497, -0.196651, -0.03834993, 0.23607947, -0.40174046, 0.4295857, -0.32212847, 0.18429646, -0.0881648, 0.22164282, -0.21278936, 0.0947827, 0.04803259, 0.2704635, 0.7143249, 0.47108135, -0.1645892, -0.3761332, -0.6914229, 0.7875138, 0.15403606, -0.7371865, 0.18064304, -0.44009417, -0.27335525, -0.6372698, -0.7259454, 0.13644257, -0.28758746, 0.11032885, -0.5568575, 0.04557111, 0.20352153, -0.4242558, -0.59983337, -0.21722908, 0.79557604, -0.19567893, 0.8057477, -0.16441593, -0.02165323, 0.1047955, 0.20589378, -0.3370266, 0.09766205, -0.047766954, 0.52157015, 0.5482225, 0.91143, -0.03903031, -0.79982567, -0.7076797, 0.7070526, 0.25026208, -0.8379193, -0.010049612, -0.1188554, -0.28007087, -0.36636636, 0.2026049, -0.33571857, -0.37045246, -0.30201942, -0.12047083, 0.1472415, -0.28429264, -0.18623093, -0.24225554, 0.29870555, 0.00588534, -0.14239323, 0.65399635, 0.5207017, -0.45313126, -0.1813931, -0.6506304, -0.32099617, -0.47697628, -0.64817846, -0.17111835, -0.05371623, -0.5879656, 0.642541, -0.81577194, 0.91771567, 0.09548099, 0.18195109, -0.43395004, -0.7673591, -0.60793436, -0.39542487, -0.29717356, -0.61175346, 0.12396645, -0.060095143, 0.015463949, 0.050787058, -0.27029866, -0.48693004, 0.46660614, -0.34559858, -0.2217205, -0.50925326, 1.43845, -0.7481216, -0.5558474, -0.11354493, -0.17237498, -0.12370777, -0.365236, 0.15637486, 0.16322665, 0.055435702, -0.5898741, -0.49865535, 0.5014415, -0.1534847, -0.20655325, -0.5297329, 0.29539934, -0.010628509, -0.18986899, 0.16008312, -0.009937039, 0.44768474, -0.015850214, -0.81930137, 0.11932322, 0.30377725, -1.0368598, 0.5355669, 0.22349471, 0.3433053, -0.14730619, -0.07022981, -0.22181103, 0.14233553, 0.038938567, -0.45327267, -0.9531963, -0.5532393, -0.34025535, 0.9237363, -0.54423416, 0.13461712, 0.09218854, -0.35544646, 0.15445353, 0.19376767, -0.080517285, -0.0010792426, 0.23662293, -0.4913287, -0.40483198, 0.19860902, 0.070112884, -0.2158844, 0.26467228, 0.34369823, 0.9887736, 0.09382308, 0.14289272, -0.25981334, 0.33394462, -0.06747901, -0.16837959, 0.28806368, 0.41837105, -0.07820497, -0.13566247, 0.2044457, -0.01499572, -0.5310653, 0.41837993, -0.47655335, 0.325886, -0.1084238, 0.12745595, 0.32618648, -0.1864449, 0.70070404, 0.48183915, 0.35100797, 0.46835834, 0.21052563, 0.26733398, -0.07228579, 0.37648517, 0.028286582, -0.50112134, 0.13594231, -0.7711223, 0.8747302, 0.29765916, -0.031179711, 0.41469857, 0.016372427, 0.57920873, 0.14130747, -0.60472506, 0.3428199, -0.2538506, -0.1964619, 0.26725084, -0.5297265, 0.19221246, 0.017806418, -0.50735617, -0.4129055, 0.116370484, -0.1806293, 0.4042435, 0.54828167, 0.11651221, -0.06835091, -0.18735439, -0.48833767, -0.1584343, -0.3435144, 0.38403004, 0.5630645, 0.05145296, -0.028445207, -0.20438887, 0.44591057, -0.4141853, -0.49207678, -0.18833064, -0.8661805, -0.39625266, -0.29508546, 0.22266431, 0.31950578, 0.37300292, 0.30458787, 0.091353916, -0.39239365, 0.66322166, -0.20062649, -0.1981011, 0.21623096, 0.5369048, -1.5814515, 0.1244636, -1.1282475, -0.15734558, 0.13407911, 0.0461045, 0.061252866, -0.14435627, 0.034426726, -0.041598912, 0.1018641, 0.46773311, 0.3456488, 0.3256176, -0.45850182, 0.7958722, -0.42280045, -0.51776713, -0.35053977, -0.19520676, -0.27469093, -0.45320937, -0.57692546, -0.13544442, -0.14256585, 0.066601485]",전라남도 여수시 추천여행코스는 야경코스입니다. 여수엑스포역→국가산단→돌산공원→돌산갓김치거리→이순신광장→오동도야간분수→여수엑스포역
2층주간코스,여수엑스포역→아쿠아플라넷→케이블카주차타워→오동도→소노캄 여수→하멜전시관→이순신광장→여객선터미널→돌산공원→여수엑스포역,전라남도 여수시,"[0.24665321, -0.029795345, 0.25926268, 0.5666094, 0.59115124, -0.047367223, 0.19130324, -0.3005306, 0.2534375, -0.147784, -0.5009953, -0.036867473, 0.24800873, -0.2838055, 0.02550773, 0.2593637, 0.44624376, -0.028600149, 0.6826895, -0.026779365, -0.37054196, 0.37929577, 0.06258242, -0.13599491, -0.024929594, -0.031978425, -0.41742536, 0.1990507, 0.32965893, 0.09017606, -0.352674, -0.04676588, -0.06648151, 0.39735645, -0.16279554, 0.47467932, -0.40582222, -0.38281754, 0.13455854, -0.061437882, -0.416447, 0.043967582, -0.17755836, -0.36325502, -0.011626886, -0.27182463, -0.22012115, -0.24051335, -0.29621717, -0.14797415, -0.29819643, -0.25942743, -0.33574337, 0.22532439, -0.26320162, 0.11832738, 0.18236007, -0.39551634, -0.27701983, 0.20669834, -0.35706562, 0.46376354, 0.030200744, -0.33878276, -0.42201245, 0.38147646, -0.7007445, 0.13102444, 0.08104906, -0.6667068, 0.6007323, 0.14734247, 0.73719215, 0.3182219, 0.09546824, 0.0031845074, 0.0055702142, -0.3908881, 0.5397858, 0.9932582, -0.68829185, -0.14339367, 0.44327107, 0.23545493, -0.9086116, -0.38311926, -0.62026095, -0.08801123, 0.3118386, -0.6301011, 0.41131085, 0.09183335, -1.3645512, -0.46772927, 0.15943685, 0.1943824, -0.036933545, -0.31959826, 0.17124784, 0.8289528, 0.81351924, 0.12199297, -0.52626497, 0.7687287, 0.6940001, 0.76888436, 0.14676392, 0.06204078, 0.4550844, -0.6349196, 0.24175717, -0.11750184, -0.801802, 0.35087612, -0.2006937, -0.16217028, 0.097540125, 0.44637084, 0.024469575, -0.2004747, -0.19384241, 0.17406026, -0.5277824, -0.19658338, -0.09826303, -0.5727863, -0.057074364, 0.29280305, 0.34322965, -0.56365395, 0.1878221, -0.20424508, -0.58162385, -0.038504593, 0.3103869, 0.2610859, 0.5121122, 0.028593231, 0.016715894, -0.08021374, -0.50164706, 0.51949173, -0.13460499, 0.32541904, -0.06980145, 0.51056445, 0.056412857, -0.68190795, -0.107887916, -0.311179, -0.061713, -0.09558094, -0.9930994, 0.165761, -0.66551316, 0.08016638, 0.06813791, 0.029296586, -0.15018737, -0.19997935, -0.18719292, 0.26471722, -0.46361256, 0.17914975, 0.18765637, 0.31752157, 0.49977043, 0.21892929, 0.4116158, 0.44050613, -0.05571082, -0.08948217, -1.0873408, -0.06286244, 0.22323179, 0.15463042, 0.25833443, -0.70332223, -0.031200923, 0.4127191, 0.10727121, 0.5276134, 0.276145, 0.16794305, -0.5558813, 0.868468, 0.5244159, 0.6795016, -0.37124458, 0.16262111, 0.10218998, 0.7114582, -0.17165981, 0.22669159, -0.01037968, 0.5472328, 0.009910349, 0.23760422, 0.11849365, 0.17547467, 0.026277864, -0.19069932, -0.24125558, 0.14644319, 0.2926607, -0.09438143, 0.07716474, 0.537724, -0.07083717, -0.40776223, -0.5598216, 0.24461767, 0.95574486, -0.30615377, 0.39433044, -0.042297516, 0.06156818, -0.11584844, -0.07142302, -0.0110239675, -0.25955158, -0.41119128, 0.4506602, -0.5375065, -0.12319793, 0.07112111, 0.18733779, -0.14094616, 0.45108968, -0.45223704, 0.23924573, -0.18855417, -0.46136335, 0.0983506, 0.8242403, -0.13838555, -0.10387615, 0.507118, 0.099427246, 0.49932823, -0.07228255, -0.087512895, 0.27769357, -0.040777713, 0.06635261, 0.0461215, 0.41650784, 0.60404724, -0.23350525, -0.22654122, -0.19036433, -0.6810322, 0.2756033, -0.6014214, -0.22217855, 0.14652023, 0.34510627, -0.047835324, -0.45001367, 0.7944681, 0.24737613, -0.44504723, -0.5127561, -0.008507704, -0.40941116, -0.5077259, 0.5587252, -0.24696858, 0.8164012, 0.09537748, -0.3022125, 0.05226578, 0.62379456, 0.041863754, -0.5806041, 0.026263395, 0.09376631, -0.08498221, -0.19322138, -0.25764313, 0.61029124, -0.042569462, -0.6829575, -0.48708645, -0.3355466, -0.47715765, -0.55176395, 0.50731665, -0.5757421, -0.383328, 0.55212325, -0.36279067, 0.07407916, -0.8795601, 0.76990706, -0.37729666, 0.17297792, 0.56815803, -0.09153819, -0.17437555, 0.26448187, -0.050763585, 0.4220476, 0.15045713, 0.19679433, 0.016404, 0.15227602, -0.17900166, 0.0009359755, -0.38635507, -0.76670605, 0.9368894, -0.121394105, 0.21479908, -0.32744986, -0.78019524, -0.46882367, -0.20574181, -0.07109108, 0.124514125, -0.24526978, 0.17320642, 0.060269047, 0.17039138, 0.32292518, 0.38067862, -0.13772014, -0.18226932, -0.232973, 0.41585082, -0.71921706, -0.5418045, 0.615894, -0.3336548, 0.1485195, -0.74937004, -0.30920044, 0.24264161, -0.42953253, -0.34902877, 0.20947656, -0.28805366, 0.07991279, -0.082207136, 0.3605646, 0.30537495, 0.22319429, -0.43597144, -0.52482677, -0.47538063, 0.47517514, -0.65209824, -0.55118275, -0.07617305, 0.094298944, 0.07110174, 0.77567697, 0.07310821, -0.62498665, 0.2662086, 0.22233355, -0.17252745, -0.81112534, 0.30947715, -0.090970434, -0.359196, 0.14689791, 0.38038376, -0.00911605, 0.3342447, -0.15974201, -0.23127031, -0.059277277, -0.8437638, -0.11786633, 0.036683418, 0.48745346, -0.04932058, 0.123276405, -0.17764902, -0.14688107, 0.08763287, 0.36641648, -0.364346, 0.025952669, -0.3094018, -0.6059028, 0.0026625132, 0.40735626, -0.17390838, -0.5788593, -0.05320912, -0.0068976474, 0.04478272, 0.65196854, 0.5130388, 0.022938838, 0.09253963, -0.29775852, 0.3483794, 0.0655776, 0.06657927, 0.39235112, -0.92983055, -0.27762854, 0.8260101, -0.6287712, -0.18230863, -0.48927158, 0.06808699, -0.11135932, -0.55581146, 0.15554503, 0.09286237, -0.037275027, -0.7376415, -0.47992364, 0.45483384, 0.5528746, 0.1118311, -0.070681535, -0.09718767, -0.017325075, -0.29662284, -0.049448755, 0.76188415, 0.032439876, -0.5153729, -0.03148351, -0.17425741, 0.5207199, -0.07621704, -0.16230571, 0.6257095, 0.19541638, 0.16628934, -0.27533686, 0.28947064, -0.22155415, 0.08069905, -0.625394, -0.011841799, 0.33824036, -0.14204535, 0.22863328, 0.211091, 0.08352962, 0.31367487, -0.07892381, -0.81881905, -0.47756726, -0.42889377, 0.15569684, -0.18034373, -0.23120669, 0.44746137, 0.4605403, -0.002227597, -0.0597928, -0.7762059, -0.2297759, -0.36376986, -0.31315705, 0.44366592, 0.83684075, 0.2613644, -0.56128085, 0.31952745, 0.26957643, 0.2765433, 0.054140072, -0.36145496, 0.2261532, 0.041205198, 0.16277409, -0.09142896, -0.16424014, -0.30043793, -0.36290374, -0.0895204, 0.114251085, -0.543799, -0.082045496, 0.09694385, -1.0926226, -0.3637986, -0.00723072, -0.096734084, -0.1237286, -0.22439615, 0.30600077, 0.04848718, 0.4354049, 0.18661718, 0.12849236, -0.17602983, 0.23420092, 0.055495903, -0.082304075, -0.49694088, -0.1688377, -0.15888016, 0.22357973, -0.3095776, -0.3004714, 0.29034466, -0.19688974, 0.047131035, -0.25270808, 0.2630815, -0.076821364, -0.04141825, 0.31616032, 0.4088909, 0.74762017, 0.3769486, -0.22383833, -0.4398896, -0.4634619, 0.85224354, 0.26208335, -0.616911, 0.18260852, -0.60783905, -0.18982258, -0.29727635, -0.5173776, -0.049603626, -0.22268091, -0.288091, -0.6398344, 0.085879855, -0.10385525, -0.4400931, -0.19499934, -0.110524334, 0.5033952, -0.34012002, 0.60642874, 0.067627534, 0.28288677, 0.015010233, 0.3462684, -0.31319582, -0.041341215, 0.22796564, 0.36723924, 0.5836092, 0.87447953, -0.15630245, -0.6053093, -0.51001877, 0.2974672, 0.17807075, -0.68869776, -0.0586865, -0.16667587, -0.21401583, -0.19947334, -0.23912533, -0.30822682, -0.60492116, -0.20479468, 0.19713168, 0.11937876, -0.16754492, -0.35298777, -0.19434215, 0.28754732, -0.045352124, -0.046088796, 0.5799847, 0.38734388, -0.379315, -0.0047156047, -0.94307816, -0.43029144, -0.4310673, -0.7403984, -0.2273349, 0.24560724, -0.32677147, 0.61015993, -0.5384314, 0.77970994, -0.11192285, 0.02160114, -0.3047683, -0.83637714, -0.38307208, -0.54557055, -0.49105895, -0.53015834, 0.031099565, -0.38550544, -0.030858053, 0.28657284, -0.23182039, -0.50240964, 0.25749528, -0.32826233, -0.088052094, -0.42141804, 1.5444353, -0.7678034, -0.48400578, -0.22998445, -0.1401278, 0.25290406, -0.10849628, 0.006701821, 0.040107336, 0.069806494, -0.4894371, -0.67471284, 0.031094458, -0.25887087, -0.35352063, 0.2465308, 0.2861011, -0.06372906, 0.16317405, -0.050845705, -0.2216807, 0.30248347, -0.14007695, -0.901336, 0.16724499, -0.18872876, -1.1900107, 0.605515, 0.22206795, 0.40716988, -0.11164358, 0.09669935, -0.14754449, -0.103054985, 0.099275194, -0.3036291, -0.7017964, -0.42530343, -0.05564474, 0.5581928, -0.8966715, 0.26630458, -0.030747743, -0.18231615, -0.008932169, 0.0735742, -0.1396011, -0.15847056, 0.38348797, -0.27017635, -0.3558462, 0.05609457, 0.22320108, -0.31588456, 0.4418608, 0.36336803, 0.8745632, 0.019188585, 0.1699939, -0.15499125, 0.18296234, -0.18158016, 0.11764496, 0.3699176, 0.017826766, 0.06138271, -0.3968658, 0.10310116, 0.11175374, -0.67366284, 0.5743313, -0.3641933, -0.020203883, 0.23037556, -0.3809023, 0.5153987, -0.26950717, 0.8492191, 0.50165397, 0.51425415, 0.34058854, 0.19712466, 0.46344417, -0.056385055, 0.44441518, 0.004152296, -0.1295973, -0.24201345, -1.0821216, 0.7772928, 0.061634332, 0.2554422, 0.25775224, 0.30583572, 0.31959203, -0.0020175886, -0.6652581, 0.1033077, -0.38541347, -0.20617454, -0.018745732, -0.53495723, 0.27299955, -0.19021516, -0.4114532, -0.37439167, -0.07198191, -0.5034076, 0.1316524, 0.4486243, 0.2508892, -0.119506046, -0.047443338, -0.36241242, -0.0062377453, -0.29654527, 0.252106, 0.5407184, 0.26364288, 0.029721351, -0.36329752, 0.6030454, -0.25738737, -0.41810575, -0.2778072, -0.6648382, -0.3036274, -0.45576778, 0.19498487, 0.3842433, 0.34502643, -0.12204408, 0.19891804, -0.4568679, 0.3335067, -0.120114714, -0.432178, 0.37830672, 0.41839123, -1.2668875, 0.063563414, -0.74344265, -0.1626762, 0.22690572, 0.081869714, 0.2968939, -0.28182724, -0.035556264, -0.12743412, 0.23101237, 0.23881611, 0.027009813, 0.51751065, -0.4940035, 0.9764383, -0.11459047, -0.44454876, -0.45996884, -0.24529193, -0.49110588, -0.40756807, -0.4869323, -0.2038668, -0.17458366, 0.0058614505]",전라남도 여수시 추천여행코스는 2층주간코스입니다. 여수엑스포역→아쿠아플라넷→케이블카주차타워→오동도→소노캄 여수→하멜전시관→이순신광장→여객선터미널→돌산공원→여수엑스포역
